"created","favoriteCount","favorited","id","isRetweet","language","latitude","location","longitude","profileImageURL","replyToSID","replyToSN","replyToUID","retweetCount","retweeted","screenName","statusSource","text","truncated"
"2017-04-30",0,FALSE,"858719248583143424",FALSE,"pt",NA,"-23.195258,-45.893435",NA,"http://pbs.twimg.com/profile_images/748915391838248961/1Jm1PEyI_normal.jpg",NA,NA,NA,0,FALSE,"juliao2","<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Domingo tb √© dia ! #fitcentersuplementos #powerfitacademia #powerlifting #muscula√ßao‚Ä¶ https://t.co/06BmpBYf1F",FALSE
"2017-04-30",0,FALSE,"858716469458292736",TRUE,"en",NA,"Wigan World Champions ",NA,"http://pbs.twimg.com/profile_images/836402302701330432/KUdXiemi_normal.jpg",NA,NA,NA,1,FALSE,"biggdazza","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @xIMxBURROWSx: Yes burrows lad your a good un,spoil that family of my with my Sunday dinner #powerlifting‚Ä¶ https://t.co/h0fFcfUWaN",FALSE
"2017-04-30",1,FALSE,"858715384073117696",FALSE,"en",NA,"",NA,"http://pbs.twimg.com/profile_images/702139689315258368/-T3OcSmQ_normal.jpg",NA,NA,NA,0,FALSE,"DerekBradey","<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","Bicep Workout For Muscle Mass 101 watch: https://t.co/CkvaVvpYRv #biceps #musclebuilding #weightlifing‚Ä¶ https://t.co/WuxihVcrIu",TRUE
"2017-04-30",3,FALSE,"858715279655874560",FALSE,"en",NA,"Michigan, USA",NA,"http://pbs.twimg.com/profile_images/856484935196180480/LG61LlAr_normal.jpg",NA,NA,NA,0,FALSE,"RepsandRomance","<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Happy Sunday! kodiakcakes 
‚ûñ‚ûñ‚ûñ‚ûñ‚ûñ‚ûñ‚ûñ‚ûñ‚ûñ‚ûñ‚ûñ‚ûñ #Powerlifting #Health #Fitfam #gym #Fitness‚Ä¶ https://t.co/pFnzuXecJl",FALSE
"2017-04-30",0,FALSE,"858715100022284288",FALSE,"en",NA,"wigan uk",NA,"http://pbs.twimg.com/profile_images/785078175650942976/t0NjIz3S_normal.jpg",NA,NA,NA,1,FALSE,"xIMxBURROWSx","<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Yes burrows lad your a good un,spoil that family of my with my Sunday dinner #powerlifting‚Ä¶ https://t.co/h0fFcfUWaN",FALSE
"2017-04-30",3,FALSE,"858715095437889536",FALSE,"en",NA,"",NA,"http://pbs.twimg.com/profile_images/694033663139270656/2VLyi3nD_normal.jpg",NA,NA,NA,0,FALSE,"jasonmckinney44","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#powerlifting #bodybuilding #gains #pr #squat #gym #gymlife #GymFlow #benchpress #chest #deadlift #tbt #motivation‚Ä¶ https://t.co/YoFnoWxuAE",TRUE
"2017-04-30",0,FALSE,"858714959131398144",FALSE,"en",NA,"East Providence RI",NA,"http://pbs.twimg.com/profile_images/806342083401420800/1tj28Mt2_normal.jpg",NA,NA,NA,0,FALSE,"louiestravato","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","I'm so #proud to be a #coach and representative of the #SpecialOlympicsri.org #powerlifting team‚Ä¶ https://t.co/2Yg1mxh0kw",TRUE
"2017-04-30",6,FALSE,"858712864768524288",FALSE,"en-gb",NA,"United Kingdom",NA,"http://pbs.twimg.com/profile_images/745202662522691584/FXOQEFZC_normal.jpg",NA,NA,NA,1,FALSE,"AboutGains","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Stop competing with others. Start competing with yourself.

#aboutgains #bodybuilding #powerlifting #mma‚Ä¶ https://t.co/whwSKxLN17",TRUE
"2017-04-30",0,FALSE,"858712061781704704",FALSE,"en",NA,"New York",NA,"http://pbs.twimg.com/profile_images/575824877828972544/H4NII6bg_normal.jpeg",NA,NA,NA,0,FALSE,"IronLotusPT","<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","HOME BRUNCH. THE ENTIRE PYRAMID Ì†ΩÌ¥∫
.
.
.
.
.
.
#nutrition #brunch #breakfast #diet #powerlifting‚Ä¶ https://t.co/rDnldJHeVp",FALSE
"2017-04-30",3,FALSE,"858708889851895808",FALSE,"en",NA,"United Kingdom, Ireland, UAE",NA,"http://pbs.twimg.com/profile_images/3049668838/f81485c81a3cdb9306ae9b7b8f95cfba_normal.jpeg",NA,NA,NA,0,FALSE,"KBTEducation","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","We have lots of #weightlifting &amp; #powerlifting going on in May - check out what you could get involved in here!‚Ä¶ https://t.co/xT8zHPYrHN",TRUE
"2017-04-30",2,FALSE,"858703226975268864",FALSE,"en",NA,"Austin, TX",NA,"http://pbs.twimg.com/profile_images/856632888141283329/TfXf5OWi_normal.jpg",NA,NA,NA,0,FALSE,"swarmathletics","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Fortune favors the brave.

#bravery #motivation #fit #fitness #powerlifting https://t.co/1X29W9FtnG",FALSE
"2017-04-30",0,FALSE,"858701979001999360",TRUE,"en",NA,"Alabama, USA",NA,"http://pbs.twimg.com/profile_images/549704149815001088/a22v1qHT_normal.jpeg",NA,NA,NA,1,FALSE,"steelers_felix","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @StrengthForBB: Through blood, sweat and tears #gym #muscle #workout #bodybuilding #powerlifting https://t.co/ngVGUibodJ",FALSE
"2017-04-30",0,FALSE,"858701936387903488",TRUE,"en",NA,"Alabama, USA",NA,"http://pbs.twimg.com/profile_images/549704149815001088/a22v1qHT_normal.jpeg",NA,NA,NA,1,FALSE,"steelers_felix","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @StrengthForBB: Speed!  It's all about speed squat today...Oh, and heavy ass deadlift! #gym #bodybuilding #powerlifting #workout #deadli‚Ä¶",FALSE
"2017-04-30",0,FALSE,"858701924765446144",TRUE,"en",NA,"Alabama, USA",NA,"http://pbs.twimg.com/profile_images/549704149815001088/a22v1qHT_normal.jpeg",NA,NA,NA,1,FALSE,"steelers_felix","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @StrengthForBB: Looking good, however, I can't help but think it's because of the glasses! #gym #muscle #powerlifting #bodybuilding #gym‚Ä¶",FALSE
"2017-04-30",1,FALSE,"858697589029515264",FALSE,"es",NA,"",NA,"http://pbs.twimg.com/profile_images/544678005306454016/h8e-s5vY_normal.jpeg",NA,NA,NA,0,FALSE,"ElVigiaDeportes","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","Contin√∫a Nacional de poder en Ensenada 
#MetaDeportiva #ElVig√≠aDeportes #Powerlifting #BenchPress 
https://t.co/aDfbJ88EFN",FALSE
"2017-04-30",1,FALSE,"858696541762195456",FALSE,"en",NA,"Essex, UK",NA,"http://pbs.twimg.com/profile_images/851093390578024450/KRKAgg2z_normal.jpg",NA,NA,NA,1,FALSE,"BigMike_Ldn","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","My @strengthshop Riot Cage has arrived! Ì†ΩÌ∏ä Warming up with an easy 100kg x 5. My conditioning is really awful though‚Ä¶ https://t.co/9j5RYDMloV",TRUE
"2017-04-30",0,FALSE,"858690922661412864",FALSE,"en",NA,"Lansing, MI",NA,"http://pbs.twimg.com/profile_images/752910787275026432/iHxysLR6_normal.jpg",NA,NA,NA,0,FALSE,"fgarcia2112","<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","#back #biceps Ì†ΩÌ≤™Ì†ºÌøº Concentration curls 25lbs x 25 x 4 sets Ì†ΩÌ±ä I know it's not a #powerlifting move‚Ä¶ https://t.co/FvqwiYvpaL",FALSE
"2017-04-30",145,FALSE,"858686412505268224",FALSE,"ja",NA,"",NA,"http://pbs.twimg.com/profile_images/774389259612491777/8MrYE0wV_normal.jpg",NA,NA,NA,71,FALSE,"Takesoup","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","‰∫∫Èñì„Éá„ÉÉ„Éâ„É™„Éï„ÉàÔºÅ
„Åì„Çå„ÅØÁôΩÊóó3Êú¨„Åß„Åô„Åã„Å≠ÔºÅ

#powerlifting
#deadlift
#prowrestling 
#goldgym https://t.co/Uf3L3AV7ut",FALSE
